display(log)
check(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/SIMPLE_2R.txt)
model is syntactically correct
data(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/inits1.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(10)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
set(deviance)
dic.set()
update(10)
coda(*,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pcpred[16,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[16,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[16,3]	0.4593	0.006961	6.619E-4	0.4428	0.4605	0.4697	11	10
	pcpred[16,4]	0.6278	0.0141	0.002925	0.6059	0.6276	0.6474	11	10
	pcpred[16,5]	0.1925	0.008628	0.00251	0.1742	0.1933	0.2058	11	10
	pcpred[16,6]	0.1965	0.007736	0.002965	0.1859	0.1969	0.2117	11	10
	pcpred[16,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[16,8]	0.2854	0.01196	0.005381	0.265	0.2875	0.3042	11	10
	pcpred[16,9]	0.2387	0.01416	0.002433	0.2175	0.2375	0.2608	11	10
	pcpred[17,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[17,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[17,3]	0.5208	0.01102	0.004327	0.5013	0.5217	0.5408	11	10
	pcpred[17,4]	0.6989	0.01432	0.002824	0.6783	0.6993	0.725	11	10
	pcpred[17,5]	0.203	0.01085	0.004394	0.1867	0.2017	0.2217	11	10
	pcpred[17,6]	0.1996	0.009703	0.004196	0.1758	0.2	0.2156	11	10
	pcpred[17,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[17,8]	0.3097	0.014	0.004261	0.2817	0.3142	0.3292	11	10
	pcpred[17,9]	0.2396	0.009812	0.002732	0.225	0.24	0.26	11	10
	pcpred[18,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[18,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[18,3]	0.5974	0.01331	0.005254	0.5671	0.6	0.6164	11	10
	pcpred[18,4]	0.7791	0.009191	0.002164	0.7684	0.7789	0.7954	11	10
	pcpred[18,5]	0.2136	0.01115	6.405E-4	0.1892	0.2125	0.2342	11	10
	pcpred[18,6]	0.2016	0.0102	0.002943	0.1891	0.2	0.2258	11	10
	pcpred[18,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[18,8]	0.3446	0.02118	0.008518	0.3092	0.3458	0.3717	11	10
	pcpred[18,9]	0.2412	0.01397	0.006444	0.22	0.245	0.2742	11	10
	pcpred[19,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[19,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[19,3]	0.7093	0.009139	0.003916	0.6921	0.7132	0.7257	11	10
	pcpred[19,4]	0.8534	0.01072	0.003311	0.8388	0.852	0.875	11	10
	pcpred[19,5]	0.2285	0.007726	5.323E-4	0.215	0.2325	0.2375	11	10
	pcpred[19,6]	0.2027	0.008943	0.001223	0.182	0.207	0.2148	11	10
	pcpred[19,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[19,8]	0.3829	0.02158	0.006851	0.3542	0.3817	0.4342	11	10
	pcpred[19,9]	0.239	0.01044	0.003934	0.2233	0.2425	0.2533	11	10
	pcpred[20,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[20,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[20,3]	0.9193	0.01117	0.003922	0.9039	0.923	0.9368	11	10
	pcpred[20,4]	0.9738	0.003007	3.21E-4	0.9691	0.9743	0.9783	11	10
	pcpred[20,5]	0.2391	0.0103	0.002702	0.2158	0.2425	0.2517	11	10
	pcpred[20,6]	0.1978	0.0121	0.001863	0.1797	0.193	0.2172	11	10
	pcpred[20,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[20,8]	0.4323	0.01464	0.001084	0.4058	0.43	0.46	11	10
	pcpred[20,9]	0.2488	0.009069	0.005201	0.2325	0.2508	0.2617	11	10
	pcpred[21,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[21,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[21,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[21,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[21,5]	0.2413	0.008218	0.002182	0.2292	0.2417	0.2533	11	10
	pcpred[21,6]	0.2001	0.01421	0.001315	0.1789	0.2039	0.2258	11	10
	pcpred[21,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[21,8]	0.4878	0.01438	0.003299	0.4533	0.49	0.5058	11	10
	pcpred[21,9]	0.2432	0.01033	0.003093	0.2225	0.2442	0.2617	11	10
	pcpred[22,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[22,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[22,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[22,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[22,5]	0.2702	0.01301	0.002002	0.2575	0.2683	0.2908	11	10
	pcpred[22,6]	0.2094	0.008224	0.003416	0.1977	0.207	0.2227	11	10
	pcpred[22,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[22,8]	0.5496	0.01989	0.004492	0.5208	0.5542	0.59	11	10
	pcpred[22,9]	0.2484	0.007559	0.002238	0.2367	0.2458	0.2617	11	10
	pcpred[23,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[23,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[23,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[23,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[23,5]	0.2925	0.01362	0.007127	0.2725	0.2933	0.3158	11	10
	pcpred[23,6]	0.2134	0.008464	0.003255	0.2008	0.2109	0.2266	11	10
	pcpred[23,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[23,8]	0.6337	0.01263	0.005924	0.6108	0.6308	0.6533	11	10
	pcpred[23,9]	0.2493	0.01293	0.006211	0.2267	0.2508	0.2717	11	10
	pcpred[24,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[24,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[24,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[24,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[24,5]	0.3199	0.01504	0.004514	0.2867	0.3192	0.3375	11	10
	pcpred[24,6]	0.2139	0.006609	0.001114	0.2023	0.2164	0.2234	11	10
	pcpred[24,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[24,8]	0.7357	0.01528	0.00645	0.7083	0.7317	0.7633	11	10
	pcpred[24,9]	0.2513	0.01307	0.006305	0.2283	0.2525	0.2708	11	10
	pcpred[25,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[25,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[25,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[25,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[25,5]	0.3521	0.01131	0.005335	0.335	0.3575	0.3725	11	10
	pcpred[25,6]	0.2207	0.00875	0.004805	0.2055	0.2242	0.2375	11	10
	pcpred[25,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[25,8]	0.9425	0.007198	6.724E-4	0.9292	0.94	0.955	11	10
	pcpred[25,9]	0.2439	0.01198	0.002504	0.2208	0.245	0.26	11	10
	pcpred[26,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[26,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[26,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[26,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
