display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/NumberConcept_1.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(1)
gen.inits()
initial values generated, model initialized
update(1000)
set(pp)
set(ppz)
set(ppb)
set(v)
set(z)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pp[18,11]	8.118	4.409	0.08346	3.0	6.0	15.0	1001	2000
	pp[18,12]	8.149	4.365	0.1027	3.0	6.0	15.0	1001	2000
	pp[18,13]	8.082	4.413	0.09403	3.0	6.0	15.0	1001	2000
	pp[18,14]	8.213	4.421	0.1028	4.0	6.0	15.0	1001	2000
	pp[18,15]	7.976	4.405	0.1143	3.0	6.0	15.0	1001	2000
	pp[19,1]	1.938	2.905	0.0701	1.0	1.0	15.0	1001	2000
	pp[19,2]	2.8	2.665	0.05552	2.0	2.0	15.0	1001	2000
	pp[19,3]	3.704	2.446	0.05319	3.0	3.0	15.0	1001	2000
	pp[19,4]	7.484	4.293	0.1126	4.0	5.0	15.0	1001	2000
	pp[19,5]	8.142	4.356	0.09159	3.0	6.0	15.0	1001	2000
	pp[19,6]	8.212	4.352	0.07518	3.0	6.0	15.0	1001	2000
	pp[19,7]	8.348	4.457	0.1079	3.0	7.0	15.0	1001	2000
	pp[19,8]	8.287	4.397	0.0917	3.0	6.0	15.0	1001	2000
	pp[19,9]	8.272	4.454	0.1098	3.0	6.0	15.0	1001	2000
	pp[19,10]	8.323	4.429	0.08754	3.0	6.0	15.0	1001	2000
	pp[19,11]	8.273	4.418	0.09723	3.0	6.0	15.0	1001	2000
	pp[19,12]	8.229	4.345	0.07623	4.0	7.0	15.0	1001	2000
	pp[19,13]	8.296	4.454	0.09385	3.0	6.0	15.0	1001	2000
	pp[19,14]	8.361	4.396	0.0952	3.0	7.0	15.0	1001	2000
	pp[19,15]	8.275	4.384	0.09063	4.0	7.0	15.0	1001	2000
	pp[20,1]	1.94	2.882	0.06213	1.0	1.0	15.0	1001	2000
	pp[20,2]	2.672	2.397	0.05439	2.0	2.0	15.0	1001	2000
	pp[20,3]	3.848	2.686	0.05519	3.0	3.0	15.0	1001	2000
	pp[20,4]	8.065	4.368	0.0851	3.0	6.0	15.0	1001	2000
	pp[20,5]	8.05	4.388	0.103	4.0	6.0	15.0	1001	2000
	pp[20,6]	7.954	4.35	0.1158	3.0	6.0	15.0	1001	2000
	pp[20,7]	8.076	4.402	0.11	3.0	6.0	15.0	1001	2000
	pp[20,8]	7.856	4.303	0.1036	3.0	6.0	15.0	1001	2000
	pp[20,9]	7.925	4.333	0.1009	3.0	6.0	15.0	1001	2000
	pp[20,10]	8.077	4.375	0.09102	4.0	6.0	15.0	1001	2000
	pp[20,11]	8.128	4.354	0.1025	4.0	6.0	15.0	1001	2000
	pp[20,12]	8.041	4.439	0.09291	3.0	6.0	15.0	1001	2000
	pp[20,13]	8.178	4.419	0.08227	3.0	6.0	15.0	1001	2000
	pp[20,14]	8.047	4.317	0.08119	4.0	6.0	15.0	1001	2000
	pp[20,15]	8.15	4.437	0.08181	3.0	6.0	15.0	1001	2000
	pp[21,1]	1.976	2.971	0.08483	1.0	1.0	15.0	1001	2000
	pp[21,2]	2.781	2.654	0.06243	2.0	2.0	15.0	1001	2000
	pp[21,3]	3.805	2.579	0.06886	3.0	3.0	15.0	1001	2000
	pp[21,4]	8.132	4.39	0.09701	3.0	6.0	15.0	1001	2000
	pp[21,5]	8.072	4.397	0.1326	3.0	6.0	15.0	1001	2000
	pp[21,6]	8.097	4.413	0.09907	3.0	6.0	15.0	1001	2000
	pp[21,7]	7.996	4.394	0.1178	3.0	6.0	15.0	1001	2000
	pp[21,8]	8.079	4.368	0.07773	4.0	6.0	15.0	1001	2000
	pp[21,9]	7.989	4.363	0.1122	3.0	6.0	15.0	1001	2000
